jaar;variabele;gem;SD;bron
2011;WZBUURTHUIZEN65_R;6.6;0.446;sdbc
2009;WZBUURTHUIZEN65_R;6.6;0.581;sdbc
2023;WZVOORZJ_P;45.0;10.914;sdbc
2022;WZVOORZJ_P;43.0;11.028;sdbc
2021;WZVOORZJ_P;45.0;10.137;sdbc
2019;WZCONDO_P;6.0;2.518;sdgeb22
2017;WZCONDO_P;6.0;2.378;sdgeb22
2016;WZCONDO_P;6.0;2.652;sdgeb22
2015;WZCONDO_P;6.0;2.039;sdgeb22
2014;WZCONDO_P;7.0;3.302;sdbc
2013;WZCONDO_P;9.0;3.514;sdgeb22
2023;WZGEZOND_1000INW;9.3;5.446;sdbc
2022;WZGEZOND_1000INW;9.2;5.74;sdbc
2021;WZGEZOND_1000INW;8.5;4.923;sdbc
2020;WZGEZOND_1000INW;7.9;4.234;sdbc
2019;WZGEZOND_1000INW;7.7;4.142;sdbc
2018;WZGEZOND_1000INW;7.5;4.319;sdbc
2017;WZGEZOND_1000INW;7.3;4.32;sdbc
2016;WZGEZOND_1000INW;7.2;4.476;sdbc
2015;WZGEZOND_1000INW;6.9;4.527;sdbc
2014;WZGEZOND_1000INW;6.6;4.507;sdbc
2013;WZGEZOND_1000INW;6.2;3.962;sdbc
2012;WZGEZOND_1000INW;5.9;3.93;sdbc
2011;WZGEZOND_1000INW;5.2;3.588;sdbc
2010;WZGEZOND_1000INW;4.6;3.308;sdbc
2009;WZGEZOND_1000INW;2.8;2.141;sdbc
2008;WZGEZOND_1000INW;2.5;2.033;sdbc
2020;WZOKT_P;6.0;1.21;sdgeb22
2019;WZOKT_P;6.3;1.319;sdgeb22
2018;WZOKT_P;6.5;1.504;sdgeb22
2017;WZOKT_P;7.1;1.76;sdgeb22
2016;WZOKT_P;8.4;2.597;sdgeb22
2015;WZOKT_P;4.9;1.618;sdgeb22
2020;WZSAMEN_P;1.6;0.626;sdgeb22
2019;WZSAMEN_P;1.8;0.701;sdgeb22
2018;WZSAMEN_P;1.9;1.013;sdgeb22
2017;WZSAMEN_P;1.8;0.712;sdgeb22
2016;WZSAMEN_P;2.1;0.895;sdgeb22
2015;WZSAMEN_P;1.9;0.819;sdgeb22
2020;WZJEUGD_P;8.3;1.605;sdbc
2019;WZJEUGD_P;7.8;1.467;sdbc
2018;WZJEUGD_P;8.2;2.026;sdbc
2023;WZWELZIJN_1000INW;6.6;6.036;sdbc
2022;WZWELZIJN_1000INW;5.7;5.056;sdbc
2021;WZWELZIJN_1000INW;4.9;3.097;sdbc
2020;WZWELZIJN_1000INW;4.4;2.373;sdbc
2019;WZWELZIJN_1000INW;4.1;2.264;sdbc
2018;WZWELZIJN_1000INW;3.9;2.057;sdbc
2017;WZWELZIJN_1000INW;3.7;1.868;sdbc
2016;WZWELZIJN_1000INW;3.5;1.838;sdbc
2015;WZWELZIJN_1000INW;3.5;2.035;sdbc
2014;WZWELZIJN_1000INW;3.4;1.916;sdbc
2013;WZWELZIJN_1000INW;3.5;1.708;sdbc
2012;WZWELZIJN_1000INW;3.3;1.815;sdbc
2011;WZWELZIJN_1000INW;2.8;1.573;sdbc
2010;WZWELZIJN_1000INW;2.4;0.969;sdbc
2009;WZWELZIJN_1000INW;2.2;0.931;sdbc
2008;WZWELZIJN_1000INW;1.9;0.927;sdbc
2023;LOUD_R;6.8;0.754;sdbc
2021;LOUD_R;6.9;0.752;sdbc
2019;LOUD_R;6.9;0.727;sdbc
2017;LOUD_R;7.0;0.582;sdbc
2023;L65PLUSOUD_R;7.3;0.515;sdbc
2021;L65PLUSOUD_R;7.4;0.485;sdbc
2019;L65PLUSOUD_R;7.3;0.47;sdbc
2017;L65PLUSOUD_R;7.4;0.395;sdbc
2020;WZVOORZ_P;17.7;5.072;sdbc
2019;WZVOORZ_P;13.3;5.201;sdbc
2018;WZVOORZ_P;13.4;5.115;sdbc
2020;WZVOORZHH_P;28.3;8.031;sdbc
2019;WZVOORZHH_P;21.1;8.42;sdbc
2018;WZVOORZHH_P;21.2;8.263;sdbc
2020;WZZORG18_65_P;3.9;1.931;sdbc
2019;WZZORG18_65_P;4.1;2.003;sdbc
2018;WZZORG18_65_P;3.9;1.936;sdbc
2020;WZZORG66PLUS_P;25.8;8.955;sdbc
2019;WZZORG66PLUS_P;27.6;9.296;sdbc
2018;WZZORG66PLUS_P;27.6;9.641;sdbc
2020;WZAMBDAG_P;1.9;0.954;sdbc
2019;WZAMBDAG_P;2.1;0.953;sdbc
2018;WZAMBDAG_P;2.0;0.942;sdbc
2020;WZHBH_P;12.8;5.508;sdbc
2019;WZHBH_P;12.1;5.176;sdbc
2018;WZHBH_P;11.8;5.157;sdbc
2022;PMANTEL_P;10.0;1.882;sdgeb22
2020;PMANTEL_P;9.0;2.16;sdbc
2016;PMANTEL_P;9.0;2.124;sdbc
2012;PMANTEL_P;9.0;2.343;sdgeb22
2022;PMANTEL65_P;14.0;3.152;sdgeb22
2020;PMANTEL65_P;12.0;1.668;sdbc
2016;PMANTEL65_P;11.0;3.356;sdgeb22
2012;PMANTEL65_P;12.0;2.682;sdgeb22
2020;WZOOO_P;2.5;0.887;sdgeb22
2019;WZOOO_P;3.1;0.937;sdgeb22
2018;WZOOO_P;3.5;1.199;sdgeb22
2017;WZOOO_P;2.1;0.585;sdgeb22
2016;WZOOO_P;2.2;0.798;sdgeb22
2023;MDIERENPLAGEN_R;6.1;0.794;sdbc
2023;LBOUWOVERLAST_R;6.6;0.785;sdbc
2023;LKAMERVERHUUR_P;5.0;2.838;sdbc
2023;LWONINGOPDEEL_P;3.0;2.463;sdbc
2022;IHHBSTKIND_P;10.4;7.308;sdbc
2021;IHHBSTKIND_P;11.2;7.766;sdbc
2020;IHHBSTKIND_P;11.0;7.62;sdbc
2019;IHHBSTKIND_P;11.9;8.074;sdbc
2018;IHHBSTKIND_P;12.5;8.43;sdbc
